timestamp,x,y,z
1766059918.324765,-3612.925023,-464.338297,-332.981986
1766059918.344765,-3614.107813,-463.452720,-332.363523
1766059918.364765,-3615.813528,-457.798402,-331.270196
1766059918.384765,-3617.046768,-453.745750,-333.166211
1766059918.404766,-3618.749999,-450.292033,-330.348484
1766059918.424766,-3620.819189,-443.918453,-329.982914
1766059918.444766,-3622.335417,-440.542806,-330.209790
1766059918.464766,-3624.544366,-432.237427,-328.253409
1766059918.484766,-3626.244853,-429.451176,-327.447453
1766059918.504766,-3628.027407,-423.330565,-327.978820
1766059918.524765,-3629.365459,-420.124812,-328.430857
1766059918.544765,-3631.062047,-416.044541,-327.764014
1766059918.564765,-3633.353265,-410.318263,-326.655287
1766059918.584765,-3635.179835,-408.103899,-327.618611
1766059918.604765,-3637.799165,-401.731816,-326.094981
1766059918.624765,-3640.270380,-398.027611,-325.852965
1766059918.644766,-3642.468442,-394.972229,-323.779518
1766059918.664766,-3644.969056,-387.671801,-324.352373
1766059918.684766,-3647.134188,-384.308486,-323.687268
1766059918.704766,-3649.467855,-380.606556,-321.890171
1766059918.724766,-3651.389111,-376.517960,-323.491247
1766059918.744766,-3653.741750,-372.222741,-320.549669
1766059918.764766,-3655.962327,-368.090684,-321.452717
1766059918.784765,-3658.533625,-363.578900,-319.438090
1766059918.804765,-3660.749574,-358.126146,-320.527822
1766059918.824765,-3663.417906,-353.142237,-318.698084
1766059918.844765,-3666.051530,-350.227693,-318.437108
1766059918.864765,-3668.728879,-347.035381,-316.564865
1766059918.884765,-3671.279042,-343.748082,-317.008699
1766059918.904766,-3674.157992,-338.408202,-316.471763
1766059918.924766,-3676.841265,-335.521049,-316.071233
1766059918.944766,-3679.729641,-331.318143,-313.976271
1766059918.964766,-3682.616734,-327.154144,-313.627640
1766059918.984766,-3685.704750,-322.797070,-314.234695
1766059919.004766,-3688.578790,-320.218222,-311.463102
1766059919.024765,-3691.243192,-314.686856,-311.525040
1766059919.044765,-3693.641629,-314.161656,-312.080724
1766059919.064765,-3697.263092,-308.727328,-308.713793
1766059919.084765,-3700.523695,-305.475646,-309.014966
1766059919.104765,-3704.137909,-301.014537,-308.715899
1766059919.124765,-3707.846518,-299.237013,-305.996251
1766059919.144766,-3711.287740,-293.633088,-306.495115
1766059919.164766,-3714.672562,-289.774433,-306.487560
1766059919.184766,-3718.126234,-288.505222,-306.071803
1766059919.204766,-3721.804965,-285.175411,-305.786458
1766059919.224766,-3725.353096,-282.295170,-303.381911
1766059919.244766,-3728.848838,-278.573651,-303.644567
1766059919.264766,-3732.347824,-273.301470,-304.130567
1766059919.284765,-3736.177710,-270.274557,-300.444183
1766059919.304765,-3739.966671,-266.578507,-299.287535
1766059919.324765,-3744.146907,-263.106106,-298.575172
1766059919.344765,-3748.017065,-259.680186,-297.740747
1766059919.364765,-3751.735700,-256.905497,-297.616158
1766059919.384765,-3755.829387,-251.626130,-294.517861
1766059919.404766,-3759.780610,-249.616520,-295.559191
1766059919.424766,-3764.078655,-245.270995,-294.909534
1766059919.444766,-3768.273977,-243.616079,-293.009189
1766059919.464766,-3772.298256,-238.232214,-291.994569
1766059919.484766,-3775.866626,-235.801407,-291.673369
1766059919.504766,-3779.814569,-231.338428,-289.247025
1766059919.524765,-3783.695989,-228.315332,-289.112588
1766059919.544765,-3787.842971,-225.040189,-288.797258
1766059919.564765,-3792.128333,-221.575303,-287.659008
1766059919.584765,-3796.424491,-219.052229,-285.346866
1766059919.604765,-3800.844153,-217.011787,-284.072777
1766059919.624765,-3805.172041,-210.729344,-284.274704
1766059919.644766,-3809.150673,-209.575079,-284.819508
1766059919.664766,-3812.976760,-209.239498,-282.588949
1766059919.684766,-3817.094023,-204.722592,-280.913070
1766059919.704766,-3821.366109,-200.736655,-279.403494
1766059919.724766,-3825.339869,-197.463960,-281.829727
1766059919.744766,-3829.837318,-195.534251,-276.741696
1766059919.764766,-3833.750914,-193.599266,-276.387043
1766059919.784765,-3837.886021,-190.540512,-275.996739
1766059919.804765,-3842.402003,-186.358097,-271.427092
1766059919.824765,-3846.412428,-183.164351,-274.578895
1766059919.844765,-3850.569938,-182.677440,-271.909146
1766059919.864765,-3854.715729,-182.125198,-269.727237
1766059919.884765,-3859.084223,-176.830433,-269.909425
1766059919.904766,-3863.520255,-174.160663,-269.696537
1766059919.924766,-3868.469126,-171.292279,-266.365146
1766059919.944766,-3873.104174,-169.321713,-265.078049
1766059919.964766,-3877.558880,-165.076308,-266.902284
1766059919.984766,-3882.284997,-161.407364,-264.292579
1766059920.004766,-3887.074655,-157.189276,-263.167828
1766059920.024765,-3892.274924,-155.594505,-260.067424
1766059920.044765,-3897.922582,-148.007204,-259.382643
1766059920.064765,-3903.880593,-142.472230,-259.477628
1766059920.084765,-3909.634795,-140.391111,-258.415955
1766059920.104765,-3915.256816,-136.398917,-256.704019
1766059920.124765,-3920.370870,-134.118233,-254.404175
1766059920.144766,-3925.266399,-129.746122,-253.688552
1766059920.164766,-3929.853313,-127.182072,-252.776712
1766059920.184766,-3934.683171,-122.076351,-248.942223
1766059920.204766,-3939.307270,-116.261602,-249.424015
1766059920.224766,-3943.605635,-117.412922,-249.421789
1766059920.244766,-3948.187234,-112.567765,-247.820799
1766059920.264766,-3952.799212,-110.761864,-246.821054
1766059920.284765,-3957.349617,-106.005358,-246.861786
1766059920.304765,-3961.888134,-101.129371,-243.987049
1766059920.324765,-3966.217724,-98.554660,-241.418073
1766059920.344765,-3970.202197,-95.001237,-242.341574
1766059920.364765,-3974.381660,-93.242081,-240.324911
1766059920.384765,-3978.640777,-88.891906,-239.485874
1766059920.404766,-3983.361468,-83.152783,-238.420829
1766059920.424766,-3988.144747,-80.594172,-237.723975
1766059920.444766,-3993.503544,-78.051642,-234.201923
1766059920.464766,-3998.770570,-73.697535,-234.468742
1766059920.484766,-4003.909448,-72.407968,-233.415388
1766059920.504766,-4009.178504,-66.458570,-230.484703
1766059920.524765,-4014.211202,-62.895315,-231.062891
1766059920.544765,-4019.430680,-59.520676,-229.187424
1766059920.564765,-4024.766635,-53.138857,-228.599191
1766059920.584765,-4030.040542,-52.239124,-225.632405
1766059920.604765,-4034.995308,-48.257029,-226.322256
1766059920.624765,-4039.836150,-43.516527,-223.901605
1766059920.644766,-4044.766932,-38.942215,-221.737234
1766059920.664766,-4049.483317,-35.213232,-222.016886
1766059920.684766,-4053.921562,-33.043588,-220.700570
1766059920.704766,-4057.658449,-25.732051,-220.195342
1766059920.724766,-4060.685958,-24.897073,-220.410883
1766059920.744766,-4063.362665,-20.050977,-218.957665
1766059920.764766,-4065.859882,-18.232516,-218.338176
1766059920.784765,-4068.711926,-15.112406,-217.186988
1766059920.804765,-4072.086224,-9.644595,-216.999932
1766059920.824765,-4075.847314,-7.282031,-215.402388
1766059920.844765,-4079.885659,-2.739413,-213.721218
1766059920.864765,-4084.018876,-0.585751,-212.662575
1766059920.884765,-4087.822384,4.249380,-212.037188
1766059920.904766,-4091.207434,10.831565,-214.082723
1766059920.924766,-4094.992627,12.623745,-213.177679
1766059920.944766,-4099.078134,21.069362,-210.724639
1766059920.964766,-4102.743416,20.626038,-209.599933
1766059920.984766,-4106.222885,25.434132,-208.669552
1766059921.004766,-4109.170622,27.840355,-208.788489
1766059921.024765,-4112.402804,32.075501,-205.049324
1766059921.044765,-4115.376235,36.113262,-205.503673
1766059921.064765,-4118.083260,40.583674,-205.574423
1766059921.084765,-4120.732328,46.353304,-204.557361
1766059921.104765,-4123.025218,49.491527,-202.989295
1766059921.124765,-4125.374711,52.596932,-205.233509
1766059921.144766,-4127.808764,58.702028,-203.171354
1766059921.164766,-4130.368256,62.342202,-202.833173
1766059921.184766,-4132.760546,69.070372,-201.588245
1766059921.204766,-4135.536460,69.772623,-198.663159
1766059921.224766,-4137.829380,76.674707,-202.413773
1766059921.244766,-4140.618449,81.608717,-198.539190
1766059921.264766,-4142.863041,84.294277,-200.362191
1766059921.284765,-4145.397058,88.751488,-196.980055
1766059921.304765,-4147.659057,92.976163,-196.552776
1766059921.324765,-4150.075577,95.270250,-195.029127
1766059921.344765,-4152.335845,102.107571,-194.360918
1766059921.364765,-4154.845169,104.862868,-193.485828
1766059921.384765,-4157.450147,109.393101,-193.354627
1766059921.404766,-4160.403873,113.990358,-194.104699
1766059921.424766,-4163.780620,118.313125,-193.698645
1766059921.444766,-4167.391961,122.393367,-192.554000
1766059921.464766,-4170.752688,130.565725,-191.892120
1766059921.484766,-4173.969487,132.697883,-190.917217
1766059921.504766,-4176.711696,140.477306,-190.494599
1766059921.524765,-4179.400479,145.337554,-189.443168
1766059921.544765,-4181.977671,149.891138,-188.779888
1766059921.564765,-4184.664234,153.731368,-187.553267
1766059921.584765,-4186.998195,156.096627,-188.016486
1766059921.604765,-4189.258475,164.812348,-187.539719
1766059921.624765,-4191.677068,166.829011,-185.946562
1766059921.644766,-4193.840858,171.625367,-185.919743
1766059921.664766,-4196.071319,175.637908,-187.472594
1766059921.684766,-4198.604255,182.625129,-183.727108
1766059921.704766,-4201.215569,184.551143,-182.341802
1766059921.724766,-4203.617961,189.905454,-183.280891
1766059921.744766,-4206.022898,195.650254,-183.950188
1766059921.764766,-4208.310387,199.174730,-183.623935
1766059921.784765,-4210.243884,206.447997,-181.482900
1766059921.804765,-4212.551697,209.696532,-178.209602
1766059921.824765,-4214.804344,213.589786,-180.196254
1766059921.844765,-4217.389046,217.659392,-179.104676
1766059921.864765,-4219.989249,223.797486,-179.367167
1766059921.884765,-4222.574164,228.735636,-176.861285
1766059921.904766,-4224.848433,235.210524,-178.639280
1766059921.924766,-4227.213850,241.172930,-175.700313
1766059921.944766,-4229.703270,244.770245,-175.105377
1766059921.964766,-4231.985642,250.144060,-174.281322
1766059921.984766,-4233.998594,252.376916,-176.160597
1766059922.004766,-4235.832630,261.635542,-172.216677
1766059922.024765,-4237.893704,264.948502,-172.922826
1766059922.044765,-4239.968466,270.139222,-173.148448
1766059922.064765,-4242.119463,272.966018,-172.967937
1766059922.084765,-4243.979321,281.179326,-169.481481
1766059922.104765,-4245.991870,284.153740,-170.210372
1766059922.124765,-4247.688428,291.887779,-171.874426
1766059922.144766,-4250.049225,294.943705,-170.452177
1766059922.164766,-4251.936009,301.571824,-169.996829
1766059922.184766,-4254.005967,305.505167,-170.100518
1766059922.204766,-4256.055983,309.538274,-169.320971
1766059922.224766,-4257.902451,315.523664,-168.103217
1766059922.244766,-4259.637222,321.739486,-167.053569
1766059922.264766,-4261.402672,325.784765,-166.907600
1766059922.284765,-4263.071471,330.333050,-166.538111
1766059922.304765,-4264.993048,335.718124,-165.362564
1766059922.324765,-4266.928993,341.434136,-164.689054
1766059922.344765,-4269.191959,344.011807,-164.440222
1766059922.364765,-4270.649022,353.587167,-163.455966
1766059922.384765,-4272.354439,356.100552,-164.906897
1766059922.404766,-4274.113976,361.395805,-164.193970
1766059922.424766,-4276.018575,367.721800,-161.974503
1766059922.444766,-4277.834701,371.058525,-162.230719
1766059922.464766,-4279.422108,376.549086,-161.685958
1766059922.484766,-4281.356166,381.292940,-160.310454
1766059922.504766,-4282.748844,387.493230,-161.315210
1766059922.524765,-4284.263650,393.777639,-160.583670
1766059922.544765,-4285.665995,399.096962,-160.451452
1766059922.564765,-4287.175997,404.394696,-159.950796
1766059922.584765,-4288.830505,411.386913,-160.122364
1766059922.604765,-4291.499731,414.843132,-157.943949
1766059922.624765,-4294.193731,421.484249,-158.461756
1766059922.644766,-4296.665825,429.024868,-158.955969
1766059922.664766,-4299.299719,436.476768,-157.567321
1766059922.684766,-4302.280148,438.403260,-156.967348
1766059922.704766,-4304.521629,446.457455,-156.503316
1766059922.724766,-4307.171299,450.859476,-154.280942
1766059922.744766,-4309.415554,456.623538,-153.465816
1766059922.764766,-4311.409856,462.374497,-153.674930
1766059922.784765,-4313.334195,469.365385,-151.540202
1766059922.804765,-4315.355080,475.161609,-149.401233
1766059922.824765,-4317.379698,478.582592,-151.063571
1766059922.844765,-4319.282519,484.842184,-150.946479
1766059922.864765,-4320.930138,493.027952,-149.336537
1766059922.884765,-4322.771907,498.771044,-148.160297
1766059922.904766,-4324.421104,505.166602,-149.164826
1766059922.924766,-4326.283780,511.051731,-149.637530
1766059922.944766,-4328.305805,515.887463,-147.473971
1766059922.964766,-4330.298104,522.188737,-146.587685
1766059922.984766,-4332.064234,528.021142,-148.212309
1766059923.004766,-4334.702347,530.377014,-145.735338
1766059923.024765,-4336.177487,539.397863,-144.601561
1766059923.044765,-4338.445251,543.999889,-142.563303
1766059923.064765,-4339.900563,551.861511,-143.852802
1766059923.084765,-4342.017892,555.514808,-142.408969
1766059923.104765,-4343.968249,561.820608,-140.352472
1766059923.124765,-4345.884000,566.746225,-142.362833
1766059923.144766,-4348.144824,573.043587,-140.768292
1766059923.164766,-4350.771591,577.705279,-139.620682
1766059923.184766,-4352.556514,585.609483,-139.551677
1766059923.204766,-4355.360108,588.368764,-137.319649
1766059923.224766,-4357.419101,595.075494,-135.858037
1766059923.244766,-4359.231212,600.418032,-138.837198
1766059923.264766,-4361.189896,608.034656,-134.480174
1766059923.284765,-4363.620127,612.685995,-135.018026
1766059923.304765,-4365.670104,620.227112,-135.299406
1766059923.324765,-4367.901029,626.166847,-134.985578
1766059923.344765,-4369.691644,632.599670,-134.224717
1766059923.364765,-4371.718728,639.071274,-132.315237
1766059923.384765,-4373.852421,642.189956,-131.565000
1766059923.404766,-4375.986951,650.056823,-133.416348
1766059923.424766,-4378.346516,656.683941,-132.647196
1766059923.444766,-4381.129032,661.624480,-130.159033
1766059923.464766,-4383.752291,667.329749,-130.299054
1766059923.484766,-4385.673050,673.278377,-130.743059
1766059923.504766,-4387.360579,681.207790,-129.528335
1766059923.524765,-4390.349189,682.123898,-127.850113
1766059923.544765,-4391.837592,691.589205,-127.788556
1766059923.564765,-4394.436843,695.810141,-126.670297
1766059923.584765,-4396.055959,702.906303,-126.339488
1766059923.604765,-4397.954616,709.301335,-127.881478
1766059923.624765,-4399.776534,715.612564,-126.220168
1766059923.644766,-4401.779269,721.126042,-124.793795
1766059923.664766,-4404.067912,727.609665,-124.114289
1766059923.684766,-4406.370291,733.534204,-125.131565
1766059923.704766,-4408.641503,740.185443,-123.008323
1766059923.724766,-4410.752180,746.883824,-123.401514
1766059923.744766,-4412.598481,752.592805,-121.966383
1766059923.764766,-4414.769561,758.534903,-122.356332
1766059923.784765,-4416.802418,764.161090,-121.030294
1766059923.804765,-4418.779539,769.863950,-122.248959
1766059923.824765,-4421.273094,773.444428,-120.766357
1766059923.844765,-4422.824356,777.774359,-121.617044
1766059923.864765,-4423.732202,784.128181,-119.654353
1766059923.884765,-4425.720059,785.449766,-119.450514
1766059923.904766,-4427.975603,789.286064,-119.546829
1766059923.924766,-4430.122575,797.220332,-117.684318
1766059923.944766,-4432.623488,802.884519,-116.196579
1766059923.964766,-4435.725048,806.415059,-117.160348
1766059923.984766,-4439.166159,810.227284,-115.623226
1766059924.004766,-4442.632710,812.330740,-114.713939
1766059924.024765,-4445.986242,816.501581,-113.584821
1766059924.044765,-4449.242451,820.419769,-114.091918
1766059924.064765,-4452.188519,825.937677,-110.566705
1766059924.084765,-4455.894625,826.871608,-109.412616
1766059924.104765,-4458.670263,830.971094,-110.458997
1766059924.124765,-4461.787681,832.726392,-112.120041
1766059924.144766,-4464.851301,833.817385,-106.994734
1766059924.164766,-4467.428587,837.917315,-107.847713
1766059924.184766,-4470.608041,839.301970,-110.937951
1766059924.204766,-4473.801266,842.185551,-108.083977
1766059924.224766,-4477.198863,845.056319,-103.788404
1766059924.244766,-4480.572944,848.182460,-105.587323
1766059924.264766,-4484.834867,849.403353,-104.678835
1766059924.284765,-4489.360376,850.433442,-104.573641
1766059924.304765,-4492.368463,858.635643,-99.280466
1766059924.324765,-4496.272222,860.007665,-99.101337
1766059924.344765,-4499.864033,860.558866,-97.803635
1766059924.364765,-4503.126488,862.791548,-100.292932
1766059924.384765,-4506.906036,864.474142,-99.914699
1766059924.404766,-4511.273367,864.796605,-96.726920
1766059924.424766,-4514.980089,868.172207,-97.468588
1766059924.444766,-4519.482209,867.291811,-95.790897
1766059924.464766,-4523.393382,869.096931,-96.129665
1766059924.484766,-4526.887306,873.198232,-93.447664
1766059924.504766,-4531.226806,874.307473,-94.833760
1766059924.524765,-4535.289245,876.061058,-94.914643
1766059924.544765,-4539.257734,877.486288,-92.155956
1766059924.564765,-4542.717959,878.810173,-92.092881
1766059924.584765,-4546.275836,881.389676,-90.408542
1766059924.604765,-4550.758584,881.335930,-87.807029
1766059924.624765,-4555.271941,883.956655,-86.709049
1766059924.644766,-4560.105340,884.231398,-88.226486
1766059924.664766,-4564.225107,886.489156,-85.562193
1766059924.684766,-4568.721387,886.456071,-84.652361
1766059924.704766,-4573.216944,886.095329,-84.181050
1766059924.724766,-4577.502572,887.346691,-84.277236
1766059924.744766,-4581.931927,888.992317,-81.044588
1766059924.764766,-4586.946823,886.898258,-80.934804
1766059924.784765,-4591.175428,888.505607,-80.463753
1766059924.804765,-4595.861225,886.950158,-76.129641
1766059924.824765,-4600.040206,888.128864,-77.653432
1766059924.844765,-4604.371304,888.186130,-74.586065
1766059924.864765,-4608.483465,887.552043,-75.728888
1766059924.884765,-4612.779051,888.191356,-74.350755
1766059924.904766,-4616.898252,889.097128,-72.053566
1766059924.924766,-4621.349561,888.106071,-71.491502
1766059924.944766,-4625.700054,887.702530,-70.589250
1766059924.964766,-4629.996109,887.312578,-73.818778
1766059924.984766,-4634.974143,884.929723,-68.554283
1766059925.004766,-4639.140893,886.146589,-69.017104
1766059925.024765,-4643.639487,885.245765,-66.590791
1766059925.044765,-4648.244681,882.122934,-64.077214
1766059925.064765,-4651.807157,882.344509,-64.727543
1766059925.084765,-4654.709759,883.369350,-63.594913
1766059925.104765,-4658.329910,881.524182,-61.681526
1766059925.124765,-4661.852685,880.299292,-63.575297
1766059925.144766,-4665.468211,877.706597,-59.751887
1766059925.164766,-4668.823718,877.369066,-60.688951
1766059925.184766,-4672.650684,874.749197,-58.991189
1766059925.204766,-4675.825920,875.646052,-57.724878
1766059925.224766,-4679.182382,872.605999,-58.072965
1766059925.244766,-4682.234821,870.393486,-55.150954
1766059925.264766,-4685.322529,868.030821,-56.068604
1766059925.284765,-4688.109309,866.350466,-57.178425
1766059925.304765,-4690.662593,866.471171,-53.849168
1766059925.324765,-4694.040329,861.948239,-53.943475
1766059925.344765,-4697.043585,858.245583,-54.938525
1766059925.364765,-4699.981574,855.726496,-53.528316
1766059925.384765,-4702.797211,854.330432,-51.363645
1766059925.404766,-4705.962087,852.362691,-52.039915
1766059925.424766,-4709.047941,849.297285,-48.761452
1766059925.444766,-4712.520465,843.407609,-49.361106
1766059925.464766,-4715.077420,843.595454,-49.213941
1766059925.484766,-4719.099017,836.950195,-49.811317
1766059925.504766,-4722.704752,834.058786,-49.106072
1766059925.524765,-4726.173062,831.031706,-46.503656
1766059925.544765,-4729.298150,828.074248,-47.264614
1766059925.564765,-4732.532869,819.901373,-45.213724
1766059925.584765,-4734.471969,820.324518,-45.611414
1766059925.604765,-4737.739368,814.141092,-44.924882
1766059925.624765,-4739.798235,814.362828,-43.608463
1766059925.644766,-4743.040948,808.369935,-45.144554
1766059925.664766,-4745.342387,806.446800,-41.875573
1766059925.684766,-4747.861358,804.723927,-43.464983
1766059925.704766,-4750.628783,799.359453,-42.321329
1766059925.724766,-4753.253841,794.180586,-41.489203
1766059925.744766,-4754.899997,794.684590,-40.509090
1766059925.764766,-4756.864589,791.372598,-39.296149
1766059925.784765,-4758.771902,787.573089,-41.286991
1766059925.804765,-4760.669368,784.778284,-42.767883
1766059925.824765,-4763.031723,779.076576,-39.817686
1766059925.844765,-4765.193736,774.747823,-39.289257
1766059925.864765,-4767.086811,773.371127,-38.917806
1766059925.884765,-4769.807210,766.198835,-37.535457
1766059925.904766,-4771.858333,763.272007,-37.778719
1766059925.924766,-4774.038052,757.604362,-36.429848
