timestamp,color,disparity
1766059903.470768,color/img_1585.png,disparity/img_1585.png
1766059903.613625,color/img_1586.png,disparity/img_1586.png
1766059903.756482,color/img_1587.png,disparity/img_1587.png
1766059903.899340,color/img_1588.png,disparity/img_1588.png
1766059904.042196,color/img_1589.png,disparity/img_1589.png
1766059904.185054,color/img_1590.png,disparity/img_1590.png
1766059904.327913,color/img_1591.png,disparity/img_1591.png
1766059904.470769,color/img_1592.png,disparity/img_1592.png
1766059904.613627,color/img_1593.png,disparity/img_1593.png
1766059904.756483,color/img_1594.png,disparity/img_1594.png
1766059904.899341,color/img_1595.png,disparity/img_1595.png
1766059905.042198,color/img_1596.png,disparity/img_1596.png
1766059905.185056,color/img_1597.png,disparity/img_1597.png
1766059905.327915,color/img_1598.png,disparity/img_1598.png
1766059905.470771,color/img_1599.png,disparity/img_1599.png
1766059905.613627,color/img_1600.png,disparity/img_1600.png
1766059905.756484,color/img_1601.png,disparity/img_1601.png
1766059905.899342,color/img_1602.png,disparity/img_1602.png
1766059906.042200,color/img_1603.png,disparity/img_1603.png
1766059906.185056,color/img_1604.png,disparity/img_1604.png
1766059906.327914,color/img_1605.png,disparity/img_1605.png
1766059906.470771,color/img_1606.png,disparity/img_1606.png
1766059906.613628,color/img_1607.png,disparity/img_1607.png
1766059906.756486,color/img_1608.png,disparity/img_1608.png
1766059906.899344,color/img_1609.png,disparity/img_1609.png
1766059907.042208,color/img_1610.png,disparity/img_1610.png
1766059907.185058,color/img_1611.png,disparity/img_1611.png
1766059907.327915,color/img_1612.png,disparity/img_1612.png
1766059907.470773,color/img_1613.png,disparity/img_1613.png
1766059907.613632,color/img_1614.png,disparity/img_1614.png
1766059907.756490,color/img_1615.png,disparity/img_1615.png
1766059907.899348,color/img_1616.png,disparity/img_1616.png
1766059908.042202,color/img_1617.png,disparity/img_1617.png
1766059908.185059,color/img_1618.png,disparity/img_1618.png
1766059908.327917,color/img_1619.png,disparity/img_1619.png
1766059908.470774,color/img_1620.png,disparity/img_1620.png
1766059908.613631,color/img_1621.png,disparity/img_1621.png
1766059908.756488,color/img_1622.png,disparity/img_1622.png
1766059908.899347,color/img_1623.png,disparity/img_1623.png
1766059909.042204,color/img_1624.png,disparity/img_1624.png
1766059909.185060,color/img_1625.png,disparity/img_1625.png
1766059909.327918,color/img_1626.png,disparity/img_1626.png
1766059909.470779,color/img_1627.png,disparity/img_1627.png
1766059909.613633,color/img_1628.png,disparity/img_1628.png
1766059909.756490,color/img_1629.png,disparity/img_1629.png
1766059909.899348,color/img_1630.png,disparity/img_1630.png
1766059910.042205,color/img_1631.png,disparity/img_1631.png
1766059910.185062,color/img_1632.png,disparity/img_1632.png
1766059910.327920,color/img_1633.png,disparity/img_1633.png
1766059910.470777,color/img_1634.png,disparity/img_1634.png
1766059910.613634,color/img_1635.png,disparity/img_1635.png
1766059910.756491,color/img_1636.png,disparity/img_1636.png
1766059910.899349,color/img_1637.png,disparity/img_1637.png
1766059911.042207,color/img_1638.png,disparity/img_1638.png
1766059911.185065,color/img_1639.png,disparity/img_1639.png
1766059911.327921,color/img_1640.png,disparity/img_1640.png
1766059911.470781,color/img_1641.png,disparity/img_1641.png
1766059911.613635,color/img_1642.png,disparity/img_1642.png
1766059911.756493,color/img_1643.png,disparity/img_1643.png
1766059911.899350,color/img_1644.png,disparity/img_1644.png
1766059912.042207,color/img_1645.png,disparity/img_1645.png
1766059912.185065,color/img_1646.png,disparity/img_1646.png
1766059912.327924,color/img_1647.png,disparity/img_1647.png
1766059912.470779,color/img_1648.png,disparity/img_1648.png
1766059912.613636,color/img_1649.png,disparity/img_1649.png
1766059912.756495,color/img_1650.png,disparity/img_1650.png
1766059912.899351,color/img_1651.png,disparity/img_1651.png
1766059913.042209,color/img_1652.png,disparity/img_1652.png
1766059913.185073,color/img_1653.png,disparity/img_1653.png
1766059913.327923,color/img_1654.png,disparity/img_1654.png
1766059913.470780,color/img_1655.png,disparity/img_1655.png
1766059913.613638,color/img_1656.png,disparity/img_1656.png
1766059913.756512,color/img_1657.png,disparity/img_1657.png
1766059913.899355,color/img_1658.png,disparity/img_1658.png
1766059914.042210,color/img_1659.png,disparity/img_1659.png
1766059914.185067,color/img_1660.png,disparity/img_1660.png
1766059914.327924,color/img_1661.png,disparity/img_1661.png
1766059914.470782,color/img_1662.png,disparity/img_1662.png
1766059914.613639,color/img_1663.png,disparity/img_1663.png
1766059914.756497,color/img_1664.png,disparity/img_1664.png
1766059914.899354,color/img_1665.png,disparity/img_1665.png
1766059915.042212,color/img_1666.png,disparity/img_1666.png
1766059915.185069,color/img_1667.png,disparity/img_1667.png
1766059915.327930,color/img_1668.png,disparity/img_1668.png
1766059915.470784,color/img_1669.png,disparity/img_1669.png
1766059915.613640,color/img_1670.png,disparity/img_1670.png
1766059915.756498,color/img_1671.png,disparity/img_1671.png
1766059915.899355,color/img_1672.png,disparity/img_1672.png
1766059916.042216,color/img_1673.png,disparity/img_1673.png
1766059916.185070,color/img_1674.png,disparity/img_1674.png
1766059916.327931,color/img_1675.png,disparity/img_1675.png
1766059916.470785,color/img_1676.png,disparity/img_1676.png
1766059916.613642,color/img_1677.png,disparity/img_1677.png
1766059916.756503,color/img_1678.png,disparity/img_1678.png
1766059916.899358,color/img_1679.png,disparity/img_1679.png
1766059917.042214,color/img_1680.png,disparity/img_1680.png
1766059917.185071,color/img_1681.png,disparity/img_1681.png
1766059917.327929,color/img_1682.png,disparity/img_1682.png
1766059917.470786,color/img_1683.png,disparity/img_1683.png
1766059917.613643,color/img_1684.png,disparity/img_1684.png
1766059917.756501,color/img_1685.png,disparity/img_1685.png
1766059917.899358,color/img_1686.png,disparity/img_1686.png
1766059918.042218,color/img_1687.png,disparity/img_1687.png
1766059918.185073,color/img_1688.png,disparity/img_1688.png
1766059918.327931,color/img_1689.png,disparity/img_1689.png
1766059918.470788,color/img_1690.png,disparity/img_1690.png
1766059918.613648,color/img_1691.png,disparity/img_1691.png
1766059918.756504,color/img_1692.png,disparity/img_1692.png
1766059918.899360,color/img_1693.png,disparity/img_1693.png
1766059919.042216,color/img_1694.png,disparity/img_1694.png
1766059919.185074,color/img_1695.png,disparity/img_1695.png
1766059919.327931,color/img_1696.png,disparity/img_1696.png
1766059919.470789,color/img_1697.png,disparity/img_1697.png
1766059919.613647,color/img_1698.png,disparity/img_1698.png
1766059919.756503,color/img_1699.png,disparity/img_1699.png
1766059919.899360,color/img_1700.png,disparity/img_1700.png
1766059920.042218,color/img_1701.png,disparity/img_1701.png
1766059920.185075,color/img_1702.png,disparity/img_1702.png
1766059920.327933,color/img_1703.png,disparity/img_1703.png
1766059920.470790,color/img_1704.png,disparity/img_1704.png
1766059920.613647,color/img_1705.png,disparity/img_1705.png
1766059920.756505,color/img_1706.png,disparity/img_1706.png
1766059920.899362,color/img_1707.png,disparity/img_1707.png
1766059921.042220,color/img_1708.png,disparity/img_1708.png
1766059921.185076,color/img_1709.png,disparity/img_1709.png
1766059921.327937,color/img_1710.png,disparity/img_1710.png
1766059921.470791,color/img_1711.png,disparity/img_1711.png
1766059921.613653,color/img_1712.png,disparity/img_1712.png
1766059921.756506,color/img_1713.png,disparity/img_1713.png
1766059921.899363,color/img_1714.png,disparity/img_1714.png
1766059922.042220,color/img_1715.png,disparity/img_1715.png
1766059922.185078,color/img_1716.png,disparity/img_1716.png
1766059922.327940,color/img_1717.png,disparity/img_1717.png
1766059922.470796,color/img_1718.png,disparity/img_1718.png
1766059922.613650,color/img_1719.png,disparity/img_1719.png
1766059922.756507,color/img_1720.png,disparity/img_1720.png
1766059922.899365,color/img_1721.png,disparity/img_1721.png
1766059923.042222,color/img_1722.png,disparity/img_1722.png
1766059923.185083,color/img_1723.png,disparity/img_1723.png
1766059923.327937,color/img_1724.png,disparity/img_1724.png
1766059923.470798,color/img_1725.png,disparity/img_1725.png
1766059923.613651,color/img_1726.png,disparity/img_1726.png
1766059923.756509,color/img_1727.png,disparity/img_1727.png
1766059923.899366,color/img_1728.png,disparity/img_1728.png
1766059924.042224,color/img_1729.png,disparity/img_1729.png
1766059924.185085,color/img_1730.png,disparity/img_1730.png
1766059924.327938,color/img_1731.png,disparity/img_1731.png
1766059924.470796,color/img_1732.png,disparity/img_1732.png
1766059924.613660,color/img_1733.png,disparity/img_1733.png
1766059924.756510,color/img_1734.png,disparity/img_1734.png
1766059924.899367,color/img_1735.png,disparity/img_1735.png
1766059925.042225,color/img_1736.png,disparity/img_1736.png
1766059925.185082,color/img_1737.png,disparity/img_1737.png
1766059925.327940,color/img_1738.png,disparity/img_1738.png
1766059925.470796,color/img_1739.png,disparity/img_1739.png
1766059925.613657,color/img_1740.png,disparity/img_1740.png
1766059925.756511,color/img_1741.png,disparity/img_1741.png
1766059925.899368,color/img_1742.png,disparity/img_1742.png
1766059926.042227,color/img_1743.png,disparity/img_1743.png
1766059926.185083,color/img_1744.png,disparity/img_1744.png
1766059926.327942,color/img_1745.png,disparity/img_1745.png
1766059926.470798,color/img_1746.png,disparity/img_1746.png
1766059926.613655,color/img_1747.png,disparity/img_1747.png
1766059926.756513,color/img_1748.png,disparity/img_1748.png
1766059926.899370,color/img_1749.png,disparity/img_1749.png
1766059927.042227,color/img_1750.png,disparity/img_1750.png
1766059927.185084,color/img_1751.png,disparity/img_1751.png
1766059927.327942,color/img_1752.png,disparity/img_1752.png
1766059927.470800,color/img_1753.png,disparity/img_1753.png
1766059927.613656,color/img_1754.png,disparity/img_1754.png
1766059927.756514,color/img_1755.png,disparity/img_1755.png
1766059927.899371,color/img_1756.png,disparity/img_1756.png
1766059928.042229,color/img_1757.png,disparity/img_1757.png
1766059928.185087,color/img_1758.png,disparity/img_1758.png
1766059928.327943,color/img_1759.png,disparity/img_1759.png
1766059928.470800,color/img_1760.png,disparity/img_1760.png
1766059928.613658,color/img_1761.png,disparity/img_1761.png
1766059928.756515,color/img_1762.png,disparity/img_1762.png
1766059928.899373,color/img_1763.png,disparity/img_1763.png
1766059929.042231,color/img_1764.png,disparity/img_1764.png
1766059929.185088,color/img_1765.png,disparity/img_1765.png
1766059929.327945,color/img_1766.png,disparity/img_1766.png
1766059929.470802,color/img_1767.png,disparity/img_1767.png
1766059929.613660,color/img_1768.png,disparity/img_1768.png
1766059929.756517,color/img_1769.png,disparity/img_1769.png
1766059929.899374,color/img_1770.png,disparity/img_1770.png
1766059930.042231,color/img_1771.png,disparity/img_1771.png
1766059930.185089,color/img_1772.png,disparity/img_1772.png
1766059930.327946,color/img_1773.png,disparity/img_1773.png
1766059930.470804,color/img_1774.png,disparity/img_1774.png
1766059930.613660,color/img_1775.png,disparity/img_1775.png
1766059930.756518,color/img_1776.png,disparity/img_1776.png
1766059930.899376,color/img_1777.png,disparity/img_1777.png
1766059931.042233,color/img_1778.png,disparity/img_1778.png
1766059931.185090,color/img_1779.png,disparity/img_1779.png
1766059931.327947,color/img_1780.png,disparity/img_1780.png
1766059931.470804,color/img_1781.png,disparity/img_1781.png
1766059931.613662,color/img_1782.png,disparity/img_1782.png
1766059931.756520,color/img_1783.png,disparity/img_1783.png
1766059931.899377,color/img_1784.png,disparity/img_1784.png
1766059932.042235,color/img_1785.png,disparity/img_1785.png
1766059932.185091,color/img_1786.png,disparity/img_1786.png
1766059932.327949,color/img_1787.png,disparity/img_1787.png
1766059932.470806,color/img_1788.png,disparity/img_1788.png
1766059932.613663,color/img_1789.png,disparity/img_1789.png
1766059932.756521,color/img_1790.png,disparity/img_1790.png
1766059932.899381,color/img_1791.png,disparity/img_1791.png
1766059933.042235,color/img_1792.png,disparity/img_1792.png
1766059933.185093,color/img_1793.png,disparity/img_1793.png
1766059933.327951,color/img_1794.png,disparity/img_1794.png
